number,title,link,state
47,UFO047 2016,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo47_itunesfertig.mp3,done
48,UFO048 Minga,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo49_fertig.mp3,done
49,UFO049 Avocado,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo49_fertigg.mp3,done
50,UFO050 Die große „Folge 50“ Jubiläumsgala!,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo50.mp3,done
51,UFO051 Umzug,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo50_fertig.mp3,done
52,UFO052 Hinschlagen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo52_fertig.mp3,done
53,UFO053 El Cajón,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo53_fertig.mp3,done
54,UFO054 Alphabet 2,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo54_fertig_2.mp3,done
55,UFO055 Alphabet 1,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo55_fertig.mp3,done
56,UFO056 Katastrophe,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo56_fertig.mp3,done
57,UFO057 Evolution,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo57_fertig.mp3,done
58,UFO058 New York,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo58_fertig.mp3,done
59,UFO059 Schaumfinger,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo59_fertig.mp3,done
60,UFO060 Rockstah,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo60_fertig.mp3,done
61,UFO061 Amok,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo61_fertig.mp3,done
62,UFO062 EM,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo62_fertig.mp3,done
63,UFO063 Katjana Gerz,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo63_gerz.mp3,done
64,UFO064 Lena Kupke,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo64_kupke.mp3,done
65,UFO065 Sabrina Sauer,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo65_sauer.mp3,done
66,UFO066 Viktoria Klimmeck,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo66_kimlich.mp3,done
67,UFO067 Tine Addams,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo67_addams.mp3,done
68,UFO068 Männerrunde,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo68_fertig.mp3,done
69,UFO069 Ingrid Wenzel,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo69_fertig.mp3,done
70,UFO070 Kratzeis,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo70_fertig.mp3,done
71,UFO071 Spotify,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo71_fertig.mp3,done
72,UFO072 Höflichkeit,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo72_fertig.mp3,done
73,UFO073 Koordinaten,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo73_fertig.mp3,done
74,UFO074 Wohnen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo74_fertig.mp3,done
75,UFO075 Mandela Effekt,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo75_fertig.mp3,done
76,UFO076 Hazel Brugger,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo076_fertig.mp3,done
77,UFO077 Hörernachrichten,https://web.archive.org/web/20171115231352/http://podcast-ufo.fail/wp-content/uploads/pufo077_fertig.mp3,done
78,UFO078 Kein Gag,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo78_fertig.mp3,done
79,UFO079 Comedypreis,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo79_fertig.mp3,done
80,UFO080 Pocket,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo80.mp3,done
81,UGO081 Freestyle Karate,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo81l.mp3,done
82,UFO082 Applaus,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/puf082.mp3,done
83,UFO083 Comic-Salon,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo083.mp3,done
84,UFO084 Jahresrückblick,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo84.mp3,done
85,UFO085 Neujahrsempfang,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo085.mp3,done
86,UFO086 Ski,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo86.mp3,done
87,UFO087 Behinderte,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo87.mp3,done
88,UFO088 Alkohol und Tränen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo88.mp3,done
89,UFO089 Over,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo89.mp3,done
90,UFO090 Apps,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo90.mp3,done
91,UFO091 Bamboocha,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo91.mp3,done
92,UFO092 Die Goldkamera,https://web.archive.org/web/20200615125128/http://podcast-ufo.fail/wp-content/uploads/pufo92.mp3,done
93,UFO093 Computersimulation,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo93.mp3,done
94,UFO094 Fit kann auch lustig,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo94.mp3,done
95,UFO095 Sex Cool,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo95.mp3,done
96,UFO096 Kein Product Placement,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo96.mp3,done
97,UFO097 Gänseblümchen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo97.mp3,done
98,UFO098 Kratzeis 2,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo098.mp3,done
99,UFO099 Hof,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo099.mp3,done
100,UFO100 Jan Böhmermann,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo100.mp3,done
101,UFO101 Sommer Sommer Sommer Sommer,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo101.mp3,done
102,UFO102 Thesen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo102.mp3,done
103,UFO103 Antenne Askaban,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo103.mp3,done
104,UFO104 Fingernägel,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo104.mp3,done
105,UFO105 Schulweg,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo105.mp3,done
106,UFO106 Empfehlungen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo106u.mp3,done
107,UFO107 Mediapark,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo107.mp3,done
108,UFO108 Bungeeunglück,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo108.mp3,done
109,UFO109 Brrr!,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/pufo109.mp3,done
